Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
3 Idiots,tt1187043,25 Dec 2009,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh","Rajkumar Hirani, Abhijat Joshi, Vidhu Vinod Chopra",Rajkumar Hirani,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"386,867"
Taare Zameen Par,tt13300004,02 Nov 2020,"Game-Show, Music","Jonita Gandhi, Tony Kakkar, Sugandha Mishra",N/A,N/A,Aspiring young singers from all over India showcase their talents under the mentorship of prominent artists to impress the judges.,6.5,38
PK,tt2338151,19 Dec 2014,"Comedy, Drama, Sci-Fi","Aamir Khan, Anushka Sharma, Sanjay Dutt","Rajkumar Hirani, Abhijat Joshi",Rajkumar Hirani,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,8.1,"179,767"
Dangal,tt5074352,21 Dec 2016,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",Nitesh Tiwari,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.3,"183,364"
Rang De Basanti,tt5074352,21 Dec 2016,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",Nitesh Tiwari,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.3,"183,364"
Lagaan,tt0169102,15 Jun 2001,"Drama, Musical, Sport","Aamir Khan, Raghuvir Yadav, Gracy Singh","Ashutosh Gowariker, Kumar Dave, Sanjay Dayma",Ashutosh Gowariker,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,"112,262"
My Name Is Khan,tt1188996,12 Feb 2010,"Drama, Romance","Shah Rukh Khan, Kajol, Sheetal Menon","Shibani Bathija, Niranjan Iyengar",Karan Johar,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,7.9,"105,477"
Swades,tt0367110,17 Dec 2004,"Drama, Musical","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal","M.G. Sathya, Ashutosh Gowariker, Sameer Sharma",Ashutosh Gowariker,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.1,"89,180"
Gangs of Wasseypur,tt1954470,22 Jun 2012,"Action, Comedy, Crime","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui","Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia",Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,"93,766"
Gangs of Wasseypur â€“ Part 2,tt1954470,22 Jun 2012,"Action, Comedy, Crime","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui","Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia",Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,"93,766"
Barfi!,tt2082197,14 Sep 2012,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz","Anurag Basu, Tani Basu, Sanjeev Dutta",Anurag Basu,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,8.1,"80,832"
Chak De! India,tt2082197,14 Sep 2012,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz","Anurag Basu, Tani Basu, Sanjeev Dutta",Anurag Basu,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,8.1,"80,832"
Munna Bhai M.B.B.S.,tt0374887,19 Dec 2003,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh","Vidhu Vinod Chopra, Rajkumar Hirani, Lajan Joseph",Rajkumar Hirani,A gangster sets out to fulfill his father's dream of becoming a doctor.,8.1,"80,253"
Bajrangi Bhaijaan,tt3863552,17 Jul 2015,"Action, Adventure, Comedy","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui","Vijayendra Prasad, Kabir Khan, Parveez Sheikh",Kabir Khan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,8.1,"85,177"
Dil Chahta Hai,tt0292490,10 Aug 2001,"Comedy, Drama, Romance","Aamir Khan, Saif Ali Khan, Akshaye Khanna","Kassim Jagmagia, Farhan Akhtar, Karan Vishwanath Kashyap",Farhan Akhtar,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",8.1,"71,246"
Zindagi Na Milegi Dobara,tt1562872,15 Jul 2011,"Comedy, Drama, Musical","Hrithik Roshan, Farhan Akhtar, Abhay Deol","Farhan Akhtar, Reema Kagti, Zoya Akhtar",Zoya Akhtar,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,8.1,"76,030"
Dilwale Dulhania Le Jayenge,tt0112870,20 Oct 1995,"Drama, Romance","Shah Rukh Khan, Kajol, Amrish Puri","Aditya Chopra, Javed Siddiqui",Aditya Chopra,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",8.0,"68,311"
Kal Ho Naa Ho,tt0347304,28 Nov 2003,"Comedy, Drama, Musical","Preity Zinta, Shah Rukh Khan, Saif Ali Khan","Niranjan Iyengar, Karan Johar",Nikkhil Advani,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love fo...",7.9,"67,988"
Drishyam,tt4430212,31 Jul 2015,"Crime, Drama, Mystery","Ajay Devgn, Shriya Saran, Tabu","Jeethu Joseph, Upendra Sidhaye",Nishikant Kamat,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,"79,546"
Gunday,tt2574698,14 Feb 2014,"Action, Drama, Musical","Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas","Ali Abbas Zafar, Sanjay Masoomm",Ali Abbas Zafar,"The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",2.6,"58,979"
Queen,tt3322420,07 Mar 2014,"Adventure, Comedy, Drama","Kangana Ranaut, Rajkummar Rao, Lisa Haydon","Vikas Bahl, Chaitally Parmar, Parveez Sheikh",Vikas Bahl,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,8.1,"65,010"
Children of Heaven,tt0118849,22 Jan 1999,"Drama, Family, Sport","Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi",Majid Majidi,Majid Majidi,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",8.2,"73,585"
Bhaag Milkha Bhaag,tt2356180,12 Jul 2013,"Biography, Drama, Sport","Farhan Akhtar, Japtej Singh, Divya Dutta",Prasoon Joshi,Rakeysh Omprakash Mehra,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",8.2,"66,926"
Kahaani,tt1821480,09 Mar 2012,"Mystery, Thriller","Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta","Sujoy Ghosh, Advaita Kala, Suresh Nair",Sujoy Ghosh,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",8.1,"62,268"
Ghajini,tt1166100,24 Dec 2008,"Action, Drama, Mystery","Aamir Khan, Asin Thottumkal, Jiah Khan","Piyush Mishra, A.R. Murugadoss, Christopher Nolan",A.R. Murugadoss,A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,7.3,"60,190"
Andhadhun,tt8108198,05 Oct 2018,"Comedy, Crime, Music","Ayushmann Khurrana, Tabu, Radhika Apte","Arijit Biswas, Yogesh Chandekar, Sriram Raghavan",Sriram Raghavan,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",8.2,"89,242"
Hera Pheri,tt0242519,31 Mar 2000,"Action, Comedy, Crime","Akshay Kumar, Suniel Shetty, Paresh Rawal","Siddique, Lal, Neeraj Vora",Priyadarshan,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",8.1,"65,144"
Airlift,tt4387040,22 Jan 2016,"Action, Drama, History","Akshay Kumar, Nimrat Kaur, Kumud Mishra","Raja Menon, Sonu Sinha, Ritesh Shah",Raja Menon,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",7.9,"56,412"
Baby,tt3848892,23 Jan 2015,"Action, Crime, Thriller","Akshay Kumar, Danny Denzongpa, Rana Daggubati",Neeraj Pandey,Neeraj Pandey,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",7.9,"56,966"
Gabbar Is Back,tt2424988,01 May 2015,"Action, Crime, Drama","Akshay Kumar, Shruti Haasan, Kareena Kapoor","A.R. Murugadoss, Rajat Arora, D.S. Kannan",Radha Krishna Jagarlamudi,A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,7.1,"24,865"
Madras Cafe,tt2855648,23 Aug 2013,"Action, Drama, Thriller","John Abraham, Raashi Khanna, Nargis Fakhri","Shubhendu Bhattacharya, Juhi Chaturvedi, Somnath Dey",Shoojit Sircar,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,7.6,"24,412"
Darr,tt0109555,24 Dec 1993,"Action, Drama, Romance","Juhi Chawla, Sunny Deol, Shah Rukh Khan","Honey Irani, Javed Siddiqui",Yash Chopra,A woman plans to marry a navy officer but she is also the object of another man's obsession.,7.6,"23,616"
Agneepath,tt1849718,26 Jan 2012,"Action, Crime, Drama","Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt","Ila Bedi Dutta, Avinash Ghodke, Karan Malhotra",Karan Malhotra,A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,6.9,"24,184"
Rustom,tt5165344,12 Aug 2016,"Crime, Drama, Thriller","Akshay Kumar, Ileana D'Cruz, Manoj Bajpayee",Vipul K. Rawal,Dharmendra Suresh Desai,"A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",7.1,"26,234"
Bodyguard,tt7493974,24 Oct 2018,"Crime, Drama, Thriller","Richard Madden, Sophie Rundle, Vincent Franklin",Jed Mercurio,N/A,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,8.1,"116,316"
Kapoor & Sons,tt4900716,18 Mar 2016,"Comedy, Drama, Family","Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah","Shakun Batra, Ayesha DeVitre, Spandan Mishra",Shakun Batra,The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,7.7,"25,889"
Khosla Ka Ghosla,tt0466460,22 Sep 2006,"Comedy, Crime, Drama","Anupam Kher, Boman Irani, Parvin Dabas",Jaideep Sahni,Dibakar Banerjee,A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,8.3,"23,733"
Kabir Singh,tt8983202,20 Jun 2019,"Action, Drama, Romance","Shahid Kapoor, Kiara Advani, Nikita Dutta","Wajid Shaikh, Siddharth-Garima, Siddharth Singh",Sandeep Reddy Vanga,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",7.0,"31,517"
Bang Bang!,tt3701644,23 Nov 2014,"Animation, Short, Drama","Andréa Brusque, Féodor Atkine, Eric Herson-Macarel","Julien Bisaro, Claire Paoletti",Julien Bisaro,"Bang! Bang! It's hunting season. As well as Eda's 25th birthday. As a present, her father offers her an apartment under seizure.",7.7,43
Guru,tt0499375,12 Jan 2007,Drama,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan","Mani Ratnam, Vijay Krishna Acharya, Anurag Kashyap",Mani Ratnam,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",7.7,"23,575"
Raazi,tt7098658,11 May 2018,"Action, Drama, Thriller","Alia Bhatt, Vicky Kaushal, Rajit Kapoor","Harinder S. Sikka, Meghna Gulzar, Bhavani Iyer",Meghna Gulzar,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,7.7,"29,980"
Jo Jeeta Wohi Sikandar,tt0104561,22 May 1992,"Comedy, Drama, Romance","Aamir Khan, Ayesha Jhulka, Deepak Tijori","Nasir Hussain, Mansoor Khan",Mansoor Khan,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",8.2,"23,057"
Badlapur,tt3678782,20 Feb 2015,"Action, Crime, Drama","Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam","Massimo Carlotto, Sriram Raghavan, Arijit Biswas",Sriram Raghavan,Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,7.4,"23,615"
Masaan,tt4635372,24 Jun 2015,Drama,"Richa Chadha, Sanjay Mishra, Vicky Kaushal","Akbar Allahabadi, Bashir Badr, Brij Narayan Chakbast",Neeraj Ghaywan,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",8.1,"27,544"
Namastey London,tt0795434,23 Mar 2007,"Comedy, Drama, Romance","Akshay Kumar, Katrina Kaif, Rishi Kapoor","Suresh Nair, Ritesh Shah",Vipul Amrutlal Shah,"A man takes his thoroughly-British daughter to his home country, India. There, he arranges her marriage to someone she considers a fool. The daughter attempts to outwit them, but the groom quietly and patiently hatches his own plan.",7.1,"21,736"
Tiger Zinda Hai,tt5956100,22 Dec 2017,"Action, Adventure, Thriller","Salman Khan, Katrina Kaif, Paresh Rawal","Neelesh Misra, Ali Abbas Zafar, Aditya Chopra",Ali Abbas Zafar,"When a group of Indian and Pakistani nurses are held hostage in Iraq by a terrorist organization, a secret agent is drawn out of hiding to rescue them.",5.9,"28,659"
Rock On!!,tt1230165,29 Aug 2008,"Drama, Music","Arjun Rampal, Farhan Akhtar, Luke Kenny","Farhan Akhtar, Pubali Chaudhuri, Abhishek Kapoor",Abhishek Kapoor,Four friends reunite to relive their moments of glory as a rock band.,7.7,"21,988"
Bhool Bhulaiyaa,tt0995031,12 Oct 2007,"Comedy, Horror, Mystery","Akshay Kumar, Vidya Balan, Shiney Ahuja","Neeraj Vora, Manisha Korde, Madhu Muttam",Priyadarshan,"An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.",7.3,"24,922"
Koi... Mil Gaya,tt0254481,08 Aug 2003,"Action, Drama, Romance","Hrithik Roshan, Rekha, Preity Zinta","Rakesh Roshan, Honey Irani, Sachin Bhowmick",Rakesh Roshan,"A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful.",7.1,"23,670"
Dil To Pagal Hai,tt0118983,31 Oct 1997,"Comedy, Drama, Musical","Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor","Tanuja Chandra, Aditya Chopra, Pamela Chopra",Yash Chopra,"A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",7.1,"22,277"
Neerja,tt5286444,19 Feb 2016,"Biography, Drama, Thriller","Sonam Kapoor, Shabana Azmi, Yogendra Tikku","Saiwyn Quadras, Sanyuktha Chawla Shaikh",Ram Madhvani,"The story of courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on Pan Am Flight 73 in 1986 when it was hijacked by a terrorist organization.",7.6,"22,565"
Ae Dil Hai Mushkil,tt4559006,28 Oct 2016,"Drama, Music, Musical","Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma","Karan Johar, Niranjan Iyengar",Karan Johar,"This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak.",5.8,"23,032"
Lakshya,tt0323013,18 Jun 2004,"Action, Drama, Romance","Hrithik Roshan, Preity Zinta, Amitabh Bachchan","Javed Akhtar, Karan Kashyap, Karan Vishwanath Kashyap",Farhan Akhtar,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",7.9,"23,086"
Pyaar Ka Punchnama,tt1926313,20 May 2011,"Comedy, Drama, Romance","Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma","Luv Ranjan, Sumit Saxena, Vaibhav Suman",Luv Ranjan,Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.,7.6,"21,411"
Hindi Medium,tt5764096,19 May 2017,"Comedy, Drama","Irrfan Khan, Saba Qamar, Dishita Sehgal","Sonu Sinha, Saket Chaudhary, Amitosh Nagpal",Saket Chaudhary,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,7.8,"28,086"
Parmanu: The Story of Pokhran,tt6826438,25 May 2018,"Action, Drama, History","John Abraham, Boman Irani, Diana Penty","Saiwyn Quadras, Sanyuktha Chawla Shaikh, Abhishek Sharma",Abhishek Sharma,"Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.",7.6,"23,785"
The Namesake,tt0433416,06 Apr 2007,Drama,"Kal Penn, Irrfan Khan, Tabu","Sooni Taraporevala, Jhumpa Lahiri",Mira Nair,"American-born Gogol, the son of Indian immigrants, wants to fit in among his fellow New Yorkers, despite his family's unwillingness to let go of their traditional ways.",7.5,"20,496"
Secret Superstar,tt6108090,18 Oct 2017,"Drama, Music","Zaira Wasim, Meher Vij, Raj Arjun",Advait Chandan,Advait Chandan,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,7.8,"24,421"
Omkara,tt0488414,28 Jul 2006,"Action, Crime, Drama","Ajay Devgn, Kareena Kapoor, Saif Ali Khan","Vishal Bhardwaj, Robin Bhatt, Abhishek Chaubey",Vishal Bhardwaj,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,8.1,"20,528"
Ugly,tt2882328,26 Dec 2014,"Crime, Drama, Mystery","Rahul Bhatt, Ronit Roy, Tejaswini Kolhapure","Akhilesh Jaiswal, Anurag Kashyap, Rohit Pandey",Anurag Kashyap,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,7.9,"21,811"
Hum Aapke Hain Koun..!,tt0110076,05 Aug 1994,"Comedy, Drama, Musical","Madhuri Dixit, Salman Khan, Mohnish Bahl",Sooraj R. Barjatya,Sooraj R. Barjatya,"Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",7.5,"20,994"
Sonu Ke Titu Ki Sweety,tt7581902,23 Feb 2018,"Comedy, Romance","Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh","Rahul Mody, Luv Ranjan",Luv Ranjan,Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.,7.1,"21,991"
Wanted,tt0493464,27 Jun 2008,"Action, Crime, Thriller","Angelina Jolie, James McAvoy, Morgan Freeman","Michael Brandt, Derek Haas, Chris Morgan",Timur Bekmambetov,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",6.7,"382,904"
Jab Harry Met Sejal,tt5997666,04 Aug 2017,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Björn Freiberg",Imtiaz Ali,Imtiaz Ali,A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.,5.0,"20,553"
Goliyon Ki Raasleela Ram-Leela,tt5997666,04 Aug 2017,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Björn Freiberg",Imtiaz Ali,Imtiaz Ali,A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.,5.0,"20,553"
Kabhi Alvida Naa Kehna,tt0449999,11 Aug 2006,"Drama, Romance","Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan","Karan Johar, Shibani Bathija, Niranjan Iyengar",Karan Johar,"Dev, a former football player is married to Rhea, a successful fashion editor. Maya is a kindergarten teacher who is married to Rishi, an outgoing event planner. These couples' lives intersect and they each question their own marr...",6.0,"19,840"
Rocket Singh: Salesman of the Year,tt1434447,11 Dec 2009,"Comedy, Drama","Ranbir Kapoor, Prem Chopra, Mukesh S. Bhatt",Jaideep Sahni,Shimit Amin,"A story of a fresh graduate trying to find a balance between the maddening demands of the 'professional' way, and the way of his heart.",7.5,"20,354"
Black Friday,tt0400234,09 Feb 2007,"Action, Crime, Drama","Kay Kay Menon, Pawan Malhotra, Aditya Srivastav","Anurag Kashyap, Hussain Zaidi, Piyush Mishra",Anurag Kashyap,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",8.4,"20,628"
Dhoom,tt0422091,27 Aug 2004,"Action, Crime, Drama","Abhishek Bachchan, John Abraham, Uday Chopra",Vijay Krishna Acharya,Sanjay Gadhvi,"A mysterious gang of bikers is on a robbing spree. ACP Jai gets Ali, a mechanic, to assist him in the case. With the clock ticking, it's up to them to nab the thieves red-handed.",6.6,"20,096"
Manjhi â€“ The Mountain Man,tt0422091,27 Aug 2004,"Action, Crime, Drama","Abhishek Bachchan, John Abraham, Uday Chopra",Vijay Krishna Acharya,Sanjay Gadhvi,"A mysterious gang of bikers is on a robbing spree. ACP Jai gets Ali, a mechanic, to assist him in the case. With the clock ticking, it's up to them to nab the thieves red-handed.",6.6,"20,096"
Krrish,tt0432637,23 Jun 2006,"Action, Adventure, Sci-Fi","Hrithik Roshan, Priyanka Chopra Jonas, Rekha","Robin Bhatt, Sachin Bhowmick, Honey Irani",Rakesh Roshan,"Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy.",6.4,"20,852"
Tumbbad,tt8239946,12 Oct 2018,"Drama, Fantasy, Horror","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar","Mitesh Shah, Adesh Prasad, Rahi Anil Barve","Rahi Anil Barve, Anand Gandhi, Adesh Prasad",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,8.2,"41,898"
Kabhi Haan Kabhi Naa,tt0110222,25 Feb 1994,"Comedy, Drama, Music","Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori","Pankaj Advani, Ranjit Kapoor, Kundan Shah",Kundan Shah,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,7.6,"18,245"
Prem Ratan Dhan Payo,tt3595298,12 Nov 2015,"Action, Drama, Musical","Salman Khan, Sonam Kapoor, Abhinay Raj Singh","Sooraj R. Barjatya, Aash Karan Atal",Sooraj R. Barjatya,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",4.4,"21,824"
Gol Maal,tt3595298,12 Nov 2015,"Action, Drama, Musical","Salman Khan, Sonam Kapoor, Abhinay Raj Singh","Sooraj R. Barjatya, Aash Karan Atal",Sooraj R. Barjatya,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",4.4,"21,824"
Welcome,tt0488798,21 Dec 2007,"Comedy, Crime, Drama","Akshay Kumar, Katrina Kaif, Nana Patekar","Anees Bazmee, Rajeev Kaul, Praful Parekh",Anees Bazmee,"A man falls in love with a beautiful woman, but later discovers that her brothers are gangsters.",6.9,"21,879"
Thugs of Hindostan,tt5970844,08 Nov 2018,"Action, Adventure","Aamir Khan, Amitabh Bachchan, Fatima Sana Shaikh",Vijay Krishna Acharya,Vijay Krishna Acharya,"Recruited by the East India Company, a local thug infiltrates a troop of patriotic bandits who plan to overthrow the British regime and reclaim their independence.",4.0,"19,402"
Guzaarish,tt1438298,19 Nov 2010,"Drama, Romance","Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel","Sanjay Leela Bhansali, Bhavani Iyer, Vibhu Puri",Sanjay Leela Bhansali,"Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.",7.5,"18,408"
Hum Dil De Chuke Sanam,tt0150992,18 Jun 1999,"Comedy, Drama, Musical","Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn","Sanjay Leela Bhansali, Amrik Gill, Pratap Karvat",Sanjay Leela Bhansali,"Nandini has to choose between Sameer, the man who taught her to fall in love; and Vanraj, the man from whom she learnt how to abide and fulfill promises of love.",7.4,"18,513"
Jai Ho,tt1188982,24 Jan 2014,"Action, Drama","Salman Khan, Abhinay Raj Singh, Daisy Shah","A.R. Murugadoss, Dilip Shukla",Sohail Khan,"An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",5.2,"19,542"
Simmba,tt7212726,28 Dec 2018,"Action, Comedy, Crime","Ranveer Singh, Sara Ali Khan, Sonu Sood","Puri Jagannadh, Vakkantham Vamsi, Yunus Sajawal",Rohit Shetty,"Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.",5.7,"23,362"
Toilet: Ek Prem Katha,tt7212726,28 Dec 2018,"Action, Comedy, Crime","Ranveer Singh, Sara Ali Khan, Sonu Sood","Puri Jagannadh, Vakkantham Vamsi, Yunus Sajawal",Rohit Shetty,"Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.",5.7,"23,362"
Dum Laga Ke Haisha,tt3495030,27 Feb 2015,"Comedy, Drama, Romance","Ayushmann Khurrana, Bhumi Pednekar, Seema Bhargava",Sharat Katariya,Sharat Katariya,Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,7.5,"19,687"
Kaminey,tt1274295,14 Aug 2009,"Action, Crime, Drama","Shahid Kapoor, Priyanka Chopra Jonas, Deb Mukherjee","Cajetan Boy, Supratik Sen, Abhishek Chaubey",Vishal Bhardwaj,"The desperate lives of two estranged twin brothers converge over missing drugs, politics, racial prejudice, corrupt cops and an unplanned pregnancy.",7.4,"17,170"
Baadshah,tt0211934,27 Aug 1999,"Action, Comedy, Crime","Shah Rukh Khan, Twinkle Khanna, Amrish Puri","Shyam Goel, Neeraj Vora","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",A small time detective is mistaken as a CBI agent and gets embroiled in a deadly mission to save the Chief Minister from an assassination attempt.,6.8,"18,206"
Badla,tt8130968,08 Mar 2019,"Crime, Drama, Mystery","Amitabh Bachchan, Abhinay Raj Singh, Taapsee Pannu","Oriol Paulo, Sujoy Ghosh, Raj Vasant",Sujoy Ghosh,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,7.8,"27,135"
Tere Naam,tt11047176,20 Jun 2014,Drama,"Monalisa, Raj Premi, Gauri Shankar",N/A,Ajay Srivastava,N/A,N/A,N/A
